,Run,Subject,Tissue,Len,Percentage,Species
0,gray-wolf_spleen_divan,gray-wolf,spleen,8,35.574552892431946,gray_wolf
1,gray-wolf_spleen_divan,gray-wolf,spleen,6,18.97519274138564,gray_wolf
2,gray-wolf_spleen_divan,gray-wolf,spleen,9,39.82797503540148,gray_wolf
3,gray-wolf_spleen_divan,gray-wolf,spleen,7,3.361829338647926,gray_wolf
4,gray-wolf_spleen_divan,gray-wolf,spleen,10,0.23076519641265011,gray_wolf
5,gray-wolf_spleen_divan,gray-wolf,spleen,5,1.0594220380762573,gray_wolf
6,gray-wolf_spleen_divan,gray-wolf,spleen,11,0.1730738973094876,gray_wolf
7,gray-wolf_spleen_divan,gray-wolf,spleen,14,0.3566371217286411,gray_wolf
8,gray-wolf_spleen_divan,gray-wolf,spleen,12,0.031467981328997745,gray_wolf
9,gray-wolf_spleen_divan,gray-wolf,spleen,4,0.015733990664498872,gray_wolf
10,gray-wolf_spleen_divan,gray-wolf,spleen,3,0.010489327109665915,gray_wolf
11,gray-wolf_spleen_divan,gray-wolf,spleen,13,0.026223317774164784,gray_wolf
12,gray-wolf_spleen_divan,gray-wolf,spleen,15,0.0052446635548329575,gray_wolf
