,Run,Subject,Tissue,Len,Percentage,Species
0,maned-wolf_spleen_divan,maned-wolf,spleen,9,47.360353926811,maned_wolf
1,maned-wolf_spleen_divan,maned-wolf,spleen,8,36.92195147440475,maned_wolf
2,maned-wolf_spleen_divan,maned-wolf,spleen,7,3.9572919025307858,maned_wolf
3,maned-wolf_spleen_divan,maned-wolf,spleen,6,10.865135073937958,maned_wolf
4,maned-wolf_spleen_divan,maned-wolf,spleen,4,0.038318847647745284,maned_wolf
5,maned-wolf_spleen_divan,maned-wolf,spleen,11,0.052252974065107205,maned_wolf
6,maned-wolf_spleen_divan,maned-wolf,spleen,5,0.1550171563931514,maned_wolf
7,maned-wolf_spleen_divan,maned-wolf,spleen,10,0.1132147771410656,maned_wolf
8,maned-wolf_spleen_divan,maned-wolf,spleen,13,0.04180237925208576,maned_wolf
9,maned-wolf_spleen_divan,maned-wolf,spleen,12,0.01045059481302144,maned_wolf
10,maned-wolf_spleen_divan,maned-wolf,spleen,15,0.0017417658021702403,maned_wolf
