,Suborder,Family,Species (eng),Species (lat)
0,Caniformia,Canidae,Red fox,Vulpes vulpes
1,Caniformia,Canidae,Gray wolf,Canis lupus
2,Caniformia,Canidae,Dingo,Canis lupus dingo
3,Caniformia,Canidae,German Shepherd Dog,Canis lupus familiaris
4,Caniformia,Canidae,African hunting dog,Lycaon pictus
5,Caniformia,Canidae,Maned wolf,Chrysocyon brachyurus
6,Caniformia,Canidae,Bat-eared fox,Otocyon megalotis
7,Caniformia,Canidae,Santa Catalina Island fox,Urocyon littoralis catalinae
8,Caniformia,Canidae,Greenland wolf,Canis lupus orion
9,Caniformia,Ursidae,Spectacled bear,Tremarctos ornatus
10,Caniformia,Ursidae,Sloth bear,Melursus ursinus
11,Caniformia,Ursidae,American black bear,Ursus americanus
12,Caniformia,Ursidae,brown bear,Ursus arctos
13,Caniformia,Phocidae,Northern elephant seal,Mirounga angustirostris
14,Caniformia,Phocidae,Weddell seal,Leptonychotes weddellii
15,Caniformia,Phocidae,Hawaiian monk seal,Neomonachus schauinslandi
16,Caniformia,Phocidae,Spotted seal,Phoca largha
17,Caniformia,Phocidae,Harbor seal,Phoca vitulina
18,Caniformia,Otariidae,California sea lion,Zalophus californianus
19,Caniformia,Mustelidae,Northern sea otter,Enhydra lutris kenyoni
20,Caniformia,Mustelidae,Eurasian river otter,Lutra lutra
21,Caniformia,Mustelidae,Northern American river otter,Lontra canadensis
22,Caniformia,Mustelidae,Eurasian badger,Meles meles
23,Caniformia,Mustelidae,Stoat,Mustela erminea
24,Caniformia,Mustelidae,Stone marten,Martes foina
25,Caniformia,Mustelidae,European pine marten,Martes martes
26,Caniformia,Mustelidae,European mink,Mustela lutreola
27,Caniformia,Mustelidae,least weasel,Mustela nivalis
28,Caniformia,Mustelidae,Sable,Martes zibellina
29,Caniformia,Mustelidae,Black-footed ferret,Mustela nigripes
30,Caniformia,Mustelidae,Domestic ferret,Mustela putorius furo
31,Caniformia,Mephitidae,Plains spotted skunk,Spilogale interrupta
32,Caniformia,Ailuridae,Red panda,Ailurus fulgens
33,Feliformia,Herpestidae,Dwarf mongoose,Helogale parvula
34,Feliformia,Herpestidae,Small Indian mongoose,Urva auropunctata
35,Feliformia,Herpestidae,Meerkat,Suricata suricatta
36,Feliformia,Eupleridae,Fossa,Cryptoprocta ferox
37,Feliformia,Felidae,Clouded leopard,Neofelis nebulosa
38,Feliformia,Felidae,Canada lynx,Lynx canadensis
39,Feliformia,Felidae,Bobcat,Lynx rufus
40,Feliformia,Felidae,Domestic cat,Felis catus
41,Feliformia,Felidae,Mountain lion,Puma concolor
42,Feliformia,Felidae,Jaguarundi,Herpailurus yagouaroundi
43,Feliformia,Felidae,Jaguar,Panthera onca
44,Feliformia,Felidae,Amur tiger,Panthera tigris altaica
45,Feliformia,Felidae,Snow leopard,Panthera uncia
46,Feliformia,Felidae,Cheetah,Acinonyx jubatus
