,level_0,index,Unnamed: 0,Subject,Tissue,VGene,All,All_N,All_S,CDR1,CDR1_N,CDR1_S,CDR2,CDR2_N,CDR2_S,CDR1_len,CDR2_len,FR1_FR3_len,14aa_CDR1,All_mut,All_N_mut,All_S_mut,CDR1_mut,CDR1_N_mut,CDR1_S_mut,CDR2_mut,CDR2_N_mut,CDR2_S_mut,Dn/Ds_CDR1,Dn/Ds_All
0,274,275,275,gray-wolf,spleen,gray_wolf_IGLV_20,6,3,3,0,0,0,0,0,0,42,9,286,14 aa CDR1,0.02097902097902098,0.01048951048951049,0.01048951048951049,0.0,0.0,0.0,0.0,0.0,0.0,,0.5
1,348,349,349,gray-wolf,spleen,gray_wolf_IGLV_59,66,55,11,16,15,1,7,7,0,42,9,283,14 aa CDR1,0.2332155477031802,0.19434628975265017,0.038869257950530034,0.38095238095238093,0.35714285714285715,0.023809523809523808,0.7777777777777778,0.7777777777777778,0.0,7.5,2.4999999999999996
2,879,880,880,gray-wolf,spleen,gray_wolf_IGLV_5,7,3,4,3,2,1,0,0,0,42,9,286,14 aa CDR1,0.024475524475524476,0.01048951048951049,0.013986013986013986,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.0,0.0,0.0,1.0,0.375
3,912,913,913,gray-wolf,spleen,gray_wolf_IGLV_5,8,3,5,4,2,2,0,0,0,42,9,286,14 aa CDR1,0.027972027972027972,0.01048951048951049,0.017482517482517484,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.5,0.30000000000000004
4,918,919,919,gray-wolf,spleen,gray_wolf_IGLV_5,11,5,6,4,2,2,0,0,0,42,9,286,14 aa CDR1,0.038461538461538464,0.017482517482517484,0.02097902097902098,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.5,0.41666666666666663
5,922,923,923,gray-wolf,spleen,gray_wolf_IGLV_5,34,21,13,12,8,4,1,0,1,42,9,286,14 aa CDR1,0.11888111888111888,0.07342657342657342,0.045454545454545456,0.2857142857142857,0.19047619047619047,0.09523809523809523,0.1111111111111111,0.0,0.1111111111111111,1.0,0.8076923076923077
6,2066,2070,2070,gray-wolf,spleen,gray_wolf_IGLV_5,20,12,8,7,5,2,1,1,0,42,9,286,14 aa CDR1,0.06993006993006994,0.04195804195804196,0.027972027972027972,0.16666666666666666,0.11904761904761904,0.047619047619047616,0.1111111111111111,0.1111111111111111,0.0,1.25,0.75
7,3299,3307,3307,gray-wolf,spleen,gray_wolf_IGLV_5,33,20,13,12,8,4,1,0,1,42,9,286,14 aa CDR1,0.11538461538461539,0.06993006993006994,0.045454545454545456,0.2857142857142857,0.19047619047619047,0.09523809523809523,0.1111111111111111,0.0,0.1111111111111111,1.0,0.7692307692307693
8,3659,3668,3668,gray-wolf,spleen,gray_wolf_IGLV_5,73,55,18,22,22,0,1,1,0,42,9,286,14 aa CDR1,0.25524475524475526,0.19230769230769232,0.06293706293706294,0.5238095238095238,0.5238095238095238,0.0,0.1111111111111111,0.1111111111111111,0.0,,1.5277777777777777
9,3699,3708,3708,gray-wolf,spleen,gray_wolf_IGLV_5,11,6,5,1,1,0,0,0,0,42,9,286,14 aa CDR1,0.038461538461538464,0.02097902097902098,0.017482517482517484,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,,0.6000000000000001
