,level_0,index,Unnamed: 0,Subject,Tissue,VGene,All,All_N,All_S,CDR1,CDR1_N,CDR1_S,CDR2,CDR2_N,CDR2_S,CDR1_len,CDR2_len,FR1_FR3_len,14aa_CDR1,All_mut,All_N_mut,All_S_mut,CDR1_mut,CDR1_N_mut,CDR1_S_mut,CDR2_mut,CDR2_N_mut,CDR2_S_mut,Dn/Ds_CDR1,Dn/Ds_All
0,3323,3331,3331,SRR17271941,PBMC,IGLV_76266,4,4,0,1,1,0,1,1,0,42,9,286,14 aa CDR1,0.013986013986013986,0.013986013986013986,0.0,0.023809523809523808,0.023809523809523808,0.0,0.1111111111111111,0.1111111111111111,0.0,,
1,3324,3332,3332,SRR17271941,PBMC,IGLV_76266,5,5,0,1,1,0,1,1,0,42,9,286,14 aa CDR1,0.017482517482517484,0.017482517482517484,0.0,0.023809523809523808,0.023809523809523808,0.0,0.1111111111111111,0.1111111111111111,0.0,,
2,3325,3333,3333,SRR17271941,PBMC,IGLV_76266,1,1,0,0,0,0,0,0,0,42,9,286,14 aa CDR1,0.0034965034965034965,0.0034965034965034965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,3326,3335,3335,SRR17271941,PBMC,IGLV_76266,16,14,2,0,0,0,0,0,0,42,9,286,14 aa CDR1,0.055944055944055944,0.04895104895104895,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,,3.4999999999999996
4,3327,3339,3339,SRR17271941,PBMC,IGLV_76266,5,3,2,1,1,0,1,1,0,42,9,286,14 aa CDR1,0.017482517482517484,0.01048951048951049,0.006993006993006993,0.023809523809523808,0.023809523809523808,0.0,0.1111111111111111,0.1111111111111111,0.0,,0.75
5,3328,3340,3340,SRR17271941,PBMC,IGLV_76266,5,5,0,1,1,0,1,1,0,42,9,286,14 aa CDR1,0.017482517482517484,0.017482517482517484,0.0,0.023809523809523808,0.023809523809523808,0.0,0.1111111111111111,0.1111111111111111,0.0,,
6,3329,3341,3341,SRR17271941,PBMC,IGLV_76266,11,7,4,3,3,0,0,0,0,42,9,286,14 aa CDR1,0.038461538461538464,0.024475524475524476,0.013986013986013986,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,,0.8749999999999999
7,3330,3342,3342,SRR17271941,PBMC,IGLV_76266,8,7,1,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.027972027972027972,0.024475524475524476,0.0034965034965034965,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,3.4999999999999996
8,3331,3343,3343,SRR17271941,PBMC,IGLV_76266,8,7,1,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.027972027972027972,0.024475524475524476,0.0034965034965034965,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,3.4999999999999996
9,3332,3344,3344,SRR17271941,PBMC,IGLV_76266,7,7,0,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.024475524475524476,0.024475524475524476,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,
10,3333,3345,3345,SRR17271941,PBMC,IGLV_76266,12,8,4,3,3,0,0,0,0,42,9,286,14 aa CDR1,0.04195804195804196,0.027972027972027972,0.013986013986013986,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,,1.0
11,3334,3346,3346,SRR17271941,PBMC,IGLV_76266,12,8,4,3,3,0,0,0,0,42,9,286,14 aa CDR1,0.04195804195804196,0.027972027972027972,0.013986013986013986,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,,1.0
12,3335,3347,3347,SRR17271941,PBMC,IGLV_76266,12,8,4,3,3,0,0,0,0,42,9,286,14 aa CDR1,0.04195804195804196,0.027972027972027972,0.013986013986013986,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,,1.0
13,3336,3348,3348,SRR17271941,PBMC,IGLV_76266,13,9,4,3,3,0,0,0,0,42,9,286,14 aa CDR1,0.045454545454545456,0.03146853146853147,0.013986013986013986,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,,1.125
14,3337,3349,3349,SRR17271941,PBMC,IGLV_76266,4,3,1,1,1,0,0,0,0,42,9,286,14 aa CDR1,0.013986013986013986,0.01048951048951049,0.0034965034965034965,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,,1.5
15,3338,3350,3350,SRR17271941,PBMC,IGLV_76266,8,7,1,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.027972027972027972,0.024475524475524476,0.0034965034965034965,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,3.4999999999999996
16,3339,3351,3351,SRR17271941,PBMC,IGLV_76266,9,8,1,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.03146853146853147,0.027972027972027972,0.0034965034965034965,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,4.0
17,3340,3352,3352,SRR17271941,PBMC,IGLV_76266,1,1,0,0,0,0,0,0,0,42,9,286,14 aa CDR1,0.0034965034965034965,0.0034965034965034965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
18,3341,3353,3353,SRR17271941,PBMC,IGLV_76266,9,8,1,5,5,0,0,0,0,42,9,286,14 aa CDR1,0.03146853146853147,0.027972027972027972,0.0034965034965034965,0.11904761904761904,0.11904761904761904,0.0,0.0,0.0,0.0,,4.0
19,3342,3354,3354,SRR17271941,PBMC,IGLV_76266,9,8,1,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.03146853146853147,0.027972027972027972,0.0034965034965034965,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,4.0
20,3343,3355,3355,SRR17271941,PBMC,IGLV_76266,9,8,1,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.03146853146853147,0.027972027972027972,0.0034965034965034965,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,4.0
21,3344,3356,3356,SRR17271941,PBMC,IGLV_76266,8,8,0,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.027972027972027972,0.027972027972027972,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,
22,3345,3357,3357,SRR17271941,PBMC,IGLV_76266,12,11,1,6,6,0,0,0,0,42,9,286,14 aa CDR1,0.04195804195804196,0.038461538461538464,0.0034965034965034965,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,,5.5
23,3346,3358,3358,SRR17271941,PBMC,IGLV_76266,10,9,1,6,6,0,0,0,0,42,9,286,14 aa CDR1,0.03496503496503497,0.03146853146853147,0.0034965034965034965,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,,4.5
24,3347,3359,3359,SRR17271941,PBMC,IGLV_76266,7,7,0,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.024475524475524476,0.024475524475524476,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,
25,3348,3360,3360,SRR17271941,PBMC,IGLV_76266,10,10,0,4,4,0,0,0,0,42,9,286,14 aa CDR1,0.03496503496503497,0.03496503496503497,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,,
