,level_0,index,Unnamed: 0,Subject,Tissue,VGene,All,All_N,All_S,CDR1,CDR1_N,CDR1_S,CDR2,CDR2_N,CDR2_S,CDR1_len,CDR2_len,FR1_FR3_len,14aa_CDR1,All_mut,All_N_mut,All_S_mut,CDR1_mut,CDR1_N_mut,CDR1_S_mut,CDR2_mut,CDR2_N_mut,CDR2_S_mut,Dn/Ds_CDR1,Dn/Ds_All
0,93,93,93,sloth-bear,spleen,sloth_bear_IGLV_23,29,23,6,1,1,0,3,3,0,42,9,286,14 aa CDR1,0.10139860139860139,0.08041958041958042,0.02097902097902098,0.023809523809523808,0.023809523809523808,0.0,0.3333333333333333,0.3333333333333333,0.0,,1.9166666666666665
1,97,97,97,sloth-bear,spleen,sloth_bear_IGLV_23,20,18,2,3,3,0,2,2,0,42,9,286,14 aa CDR1,0.06993006993006994,0.06293706293706294,0.006993006993006993,0.07142857142857142,0.07142857142857142,0.0,0.2222222222222222,0.2222222222222222,0.0,,4.5
2,174,174,174,sloth-bear,spleen,sloth_bear_IGLV_23,41,35,6,9,9,0,2,2,0,42,9,286,14 aa CDR1,0.14335664335664336,0.12237762237762238,0.02097902097902098,0.21428571428571427,0.21428571428571427,0.0,0.2222222222222222,0.2222222222222222,0.0,,2.9166666666666665
3,190,190,190,sloth-bear,spleen,sloth_bear_IGLV_23,27,19,8,1,1,0,0,0,0,42,9,286,14 aa CDR1,0.0944055944055944,0.06643356643356643,0.027972027972027972,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,,1.1875
4,229,230,230,sloth-bear,spleen,sloth_bear_IGLV_23,26,15,11,2,1,1,0,0,0,42,9,286,14 aa CDR1,0.09090909090909091,0.05244755244755245,0.038461538461538464,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.5,0.6818181818181818
5,249,250,250,sloth-bear,spleen,sloth_bear_IGLV_23,20,17,3,1,1,0,0,0,0,42,9,286,14 aa CDR1,0.06993006993006994,0.05944055944055944,0.01048951048951049,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,,2.8333333333333335
6,271,272,272,sloth-bear,spleen,sloth_bear_IGLV_23,48,39,9,10,9,1,3,3,0,42,9,286,14 aa CDR1,0.16783216783216784,0.13636363636363635,0.03146853146853147,0.23809523809523808,0.21428571428571427,0.023809523809523808,0.3333333333333333,0.3333333333333333,0.0,4.5,2.1666666666666665
7,299,300,300,sloth-bear,spleen,sloth_bear_IGLV_23,35,24,11,4,2,2,0,0,0,42,9,286,14 aa CDR1,0.12237762237762238,0.08391608391608392,0.038461538461538464,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.5,1.090909090909091
8,434,436,436,sloth-bear,spleen,sloth_bear_IGLV_23,38,25,13,9,8,1,3,2,1,42,9,286,14 aa CDR1,0.13286713286713286,0.08741258741258741,0.045454545454545456,0.21428571428571427,0.19047619047619047,0.023809523809523808,0.3333333333333333,0.2222222222222222,0.1111111111111111,4.0,0.9615384615384616
9,455,457,457,sloth-bear,spleen,sloth_bear_IGLV_23,23,19,4,3,3,0,1,1,0,42,9,286,14 aa CDR1,0.08041958041958042,0.06643356643356643,0.013986013986013986,0.07142857142857142,0.07142857142857142,0.0,0.1111111111111111,0.1111111111111111,0.0,,2.375
10,466,468,468,sloth-bear,spleen,sloth_bear_IGLV_23,28,25,3,5,3,2,2,2,0,42,9,286,14 aa CDR1,0.0979020979020979,0.08741258741258741,0.01048951048951049,0.11904761904761904,0.07142857142857142,0.047619047619047616,0.2222222222222222,0.2222222222222222,0.0,0.75,4.166666666666666
11,541,543,543,sloth-bear,spleen,sloth_bear_IGLV_23,22,21,1,2,2,0,1,1,0,42,9,286,14 aa CDR1,0.07692307692307693,0.07342657342657342,0.0034965034965034965,0.047619047619047616,0.047619047619047616,0.0,0.1111111111111111,0.1111111111111111,0.0,,10.499999999999998
12,562,564,564,sloth-bear,spleen,sloth_bear_IGLV_23,16,13,3,3,2,1,1,1,0,42,9,286,14 aa CDR1,0.055944055944055944,0.045454545454545456,0.01048951048951049,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.1111111111111111,0.1111111111111111,0.0,1.0,2.1666666666666665
13,563,565,565,sloth-bear,spleen,sloth_bear_IGLV_23,35,31,4,7,7,0,0,0,0,42,9,286,14 aa CDR1,0.12237762237762238,0.10839160839160839,0.013986013986013986,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,,3.8749999999999996
14,605,608,608,sloth-bear,spleen,sloth_bear_IGLV_23,45,38,7,6,4,2,0,0,0,42,9,286,14 aa CDR1,0.15734265734265734,0.13286713286713286,0.024475524475524476,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,1.0,2.7142857142857144
15,635,638,638,sloth-bear,spleen,sloth_bear_IGLV_23,38,25,13,4,3,1,0,0,0,42,9,286,14 aa CDR1,0.13286713286713286,0.08741258741258741,0.045454545454545456,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0,1.5,0.9615384615384616
16,661,664,664,sloth-bear,spleen,sloth_bear_IGLV_23,34,23,11,5,5,0,2,1,1,42,9,286,14 aa CDR1,0.11888111888111888,0.08041958041958042,0.038461538461538464,0.11904761904761904,0.11904761904761904,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,,1.0454545454545454
17,684,687,687,sloth-bear,spleen,sloth_bear_IGLV_23,31,23,8,4,3,1,1,1,0,42,9,286,14 aa CDR1,0.10839160839160839,0.08041958041958042,0.027972027972027972,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.1111111111111111,0.1111111111111111,0.0,1.5,1.4374999999999998
18,713,716,716,sloth-bear,spleen,sloth_bear_IGLV_23,17,14,3,2,2,0,0,0,0,42,9,286,14 aa CDR1,0.05944055944055944,0.04895104895104895,0.01048951048951049,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,,2.333333333333333
19,724,727,727,sloth-bear,spleen,sloth_bear_IGLV_23,37,26,11,4,3,1,1,1,0,42,9,286,14 aa CDR1,0.12937062937062938,0.09090909090909091,0.038461538461538464,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.1111111111111111,0.1111111111111111,0.0,1.5,1.1818181818181817
20,747,750,750,sloth-bear,spleen,sloth_bear_IGLV_23,30,20,10,2,1,1,1,0,1,42,9,286,14 aa CDR1,0.1048951048951049,0.06993006993006994,0.03496503496503497,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.1111111111111111,0.0,0.1111111111111111,0.5,1.0
21,749,752,752,sloth-bear,spleen,sloth_bear_IGLV_23,25,19,6,3,3,0,5,4,1,42,9,285,14 aa CDR1,0.08771929824561403,0.06666666666666667,0.021052631578947368,0.07142857142857142,0.07142857142857142,0.0,0.5555555555555556,0.4444444444444444,0.1111111111111111,,1.5833333333333333
22,759,762,762,sloth-bear,spleen,sloth_bear_IGLV_23,27,20,7,5,5,0,2,1,1,42,9,286,14 aa CDR1,0.0944055944055944,0.06993006993006994,0.024475524475524476,0.11904761904761904,0.11904761904761904,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,,1.4285714285714286
23,764,767,767,sloth-bear,spleen,sloth_bear_IGLV_23,16,15,1,0,0,0,0,0,0,42,9,286,14 aa CDR1,0.055944055944055944,0.05244755244755245,0.0034965034965034965,0.0,0.0,0.0,0.0,0.0,0.0,,7.5
24,795,798,798,sloth-bear,spleen,sloth_bear_IGLV_23,46,37,9,6,4,2,1,1,0,42,9,286,14 aa CDR1,0.16083916083916083,0.12937062937062938,0.03146853146853147,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.1111111111111111,0.1111111111111111,0.0,1.0,2.0555555555555554
25,801,804,804,sloth-bear,spleen,sloth_bear_IGLV_23,16,12,4,1,1,0,0,0,0,42,9,286,14 aa CDR1,0.055944055944055944,0.04195804195804196,0.013986013986013986,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,,1.5
26,819,822,822,sloth-bear,spleen,sloth_bear_IGLV_23,16,15,1,1,1,0,1,1,0,42,9,286,14 aa CDR1,0.055944055944055944,0.05244755244755245,0.0034965034965034965,0.023809523809523808,0.023809523809523808,0.0,0.1111111111111111,0.1111111111111111,0.0,,7.5
27,826,829,829,sloth-bear,spleen,sloth_bear_IGLV_23,31,21,10,4,3,1,0,0,0,42,9,286,14 aa CDR1,0.10839160839160839,0.07342657342657342,0.03496503496503497,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0,1.5,1.0499999999999998
28,829,832,832,sloth-bear,spleen,sloth_bear_IGLV_23,22,17,5,1,1,0,1,0,1,42,9,286,14 aa CDR1,0.07692307692307693,0.05944055944055944,0.017482517482517484,0.023809523809523808,0.023809523809523808,0.0,0.1111111111111111,0.0,0.1111111111111111,,1.7000000000000002
29,956,959,959,sloth-bear,spleen,sloth_bear_IGLV_23,33,22,11,5,5,0,2,1,1,42,9,286,14 aa CDR1,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.11904761904761904,0.11904761904761904,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,,1.0
30,1015,1019,1019,sloth-bear,spleen,sloth_bear_IGLV_23,15,13,2,1,1,0,0,0,0,42,9,286,14 aa CDR1,0.05244755244755245,0.045454545454545456,0.006993006993006993,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,,3.2499999999999996
31,1095,1100,1100,sloth-bear,spleen,sloth_bear_IGLV_23,28,20,8,5,4,1,1,1,0,42,9,286,14 aa CDR1,0.0979020979020979,0.06993006993006994,0.027972027972027972,0.11904761904761904,0.09523809523809523,0.023809523809523808,0.1111111111111111,0.1111111111111111,0.0,2.0,1.25
32,1104,1109,1109,sloth-bear,spleen,sloth_bear_IGLV_23,21,16,5,2,1,1,0,0,0,42,9,287,14 aa CDR1,0.07317073170731707,0.05574912891986063,0.017421602787456445,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.5,1.6
33,1105,1110,1110,sloth-bear,spleen,sloth_bear_IGLV_23,27,19,8,5,4,1,1,1,0,42,9,286,14 aa CDR1,0.0944055944055944,0.06643356643356643,0.027972027972027972,0.11904761904761904,0.09523809523809523,0.023809523809523808,0.1111111111111111,0.1111111111111111,0.0,2.0,1.1875
34,1157,1163,1163,sloth-bear,spleen,sloth_bear_IGLV_23,35,23,12,5,5,0,2,1,1,42,9,286,14 aa CDR1,0.12237762237762238,0.08041958041958042,0.04195804195804196,0.11904761904761904,0.11904761904761904,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,,0.9583333333333333
35,1234,1240,1240,sloth-bear,spleen,sloth_bear_IGLV_23,16,14,2,2,2,0,1,1,0,42,9,286,14 aa CDR1,0.055944055944055944,0.04895104895104895,0.006993006993006993,0.047619047619047616,0.047619047619047616,0.0,0.1111111111111111,0.1111111111111111,0.0,,3.4999999999999996
36,1271,1277,1277,sloth-bear,spleen,sloth_bear_IGLV_23,27,23,4,3,3,0,2,2,0,42,9,286,14 aa CDR1,0.0944055944055944,0.08041958041958042,0.013986013986013986,0.07142857142857142,0.07142857142857142,0.0,0.2222222222222222,0.2222222222222222,0.0,,2.8749999999999996
37,1290,1296,1296,sloth-bear,spleen,sloth_bear_IGLV_23,24,19,5,3,3,0,1,1,0,42,9,286,14 aa CDR1,0.08391608391608392,0.06643356643356643,0.017482517482517484,0.07142857142857142,0.07142857142857142,0.0,0.1111111111111111,0.1111111111111111,0.0,,1.9
38,1331,1337,1337,sloth-bear,spleen,sloth_bear_IGLV_23,33,23,10,8,7,1,2,2,0,42,9,286,14 aa CDR1,0.11538461538461539,0.08041958041958042,0.03496503496503497,0.19047619047619047,0.16666666666666666,0.023809523809523808,0.2222222222222222,0.2222222222222222,0.0,3.5,1.15
39,1339,1345,1345,sloth-bear,spleen,sloth_bear_IGLV_23,34,27,7,4,3,1,1,1,0,42,9,286,14 aa CDR1,0.11888111888111888,0.0944055944055944,0.024475524475524476,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.1111111111111111,0.1111111111111111,0.0,1.5,1.9285714285714288
40,1388,1394,1394,sloth-bear,spleen,sloth_bear_IGLV_23,33,27,6,4,4,0,2,2,0,42,9,286,14 aa CDR1,0.11538461538461539,0.0944055944055944,0.02097902097902098,0.09523809523809523,0.09523809523809523,0.0,0.2222222222222222,0.2222222222222222,0.0,,2.25
41,1420,1426,1426,sloth-bear,spleen,sloth_bear_IGLV_23,26,20,6,6,6,0,2,1,1,42,9,286,14 aa CDR1,0.09090909090909091,0.06993006993006994,0.02097902097902098,0.14285714285714285,0.14285714285714285,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,,1.6666666666666665
42,1451,1457,1457,sloth-bear,spleen,sloth_bear_IGLV_23,23,18,5,1,1,0,1,0,1,42,9,286,14 aa CDR1,0.08041958041958042,0.06293706293706294,0.017482517482517484,0.023809523809523808,0.023809523809523808,0.0,0.1111111111111111,0.0,0.1111111111111111,,1.8000000000000003
43,1462,1468,1468,sloth-bear,spleen,sloth_bear_IGLV_23,23,19,4,0,0,0,4,4,0,42,9,286,14 aa CDR1,0.08041958041958042,0.06643356643356643,0.013986013986013986,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,,2.375
44,1502,1508,1508,sloth-bear,spleen,sloth_bear_IGLV_23,23,22,1,0,0,0,0,0,0,42,9,286,14 aa CDR1,0.08041958041958042,0.07692307692307693,0.0034965034965034965,0.0,0.0,0.0,0.0,0.0,0.0,,11.0
45,1519,1525,1525,sloth-bear,spleen,sloth_bear_IGLV_23,20,16,4,1,1,0,0,0,0,42,9,286,14 aa CDR1,0.06993006993006994,0.055944055944055944,0.013986013986013986,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,,2.0
